"record_id","atd_device_id","read_date","intersection_name","direction","movement","heavy_vehicle","volume","speed_average","speed_stddev","seconds_in_zone_average","seconds_in_zone_stddev","month","day","year","hour","minute","day_of_week","bin_duration"
"1ad088d6806395209920b6da9118236e","7038","2024-07-08T23:45:00.000","ANDERSON LN / SHOAL CREEK BLVD","EASTBOUND","RIGHT TURN","false","1","17.0","0.0","0.0","0.0","7","8","2024","23","45","1","900"
"63416ce7a7835a310013e6b2c7b87f9e","7038","2024-07-08T23:45:00.000","ANDERSON LN / SHOAL CREEK BLVD","EASTBOUND","THRU","false","19","33.947","7.735","0.163","0.389","7","8","2024","23","45","1","900"
"6a4e86f4655bba28aa77de1ced9ea809","7038","2024-07-08T23:45:00.000","ANDERSON LN / SHOAL CREEK BLVD","EASTBOUND","THRU","true","2","9.5","2.121","0.0","0.0","7","8","2024","23","45","1","900"
"50520fe33623c278341aedf830bd1251","7038","2024-07-08T23:45:00.000","ANDERSON LN / SHOAL CREEK BLVD","NORTHBOUND","LEFT TURN","false","2","8.5","7.778","2.15","3.041","7","8","2024","23","45","1","900"
"49dc32914135ceec5c664f86bc4c5d34","7038","2024-07-08T23:45:00.000","ANDERSON LN / SHOAL CREEK BLVD","NORTHBOUND","LEFT TURN","true","1","24.0","0.0","2.1","0.0","7","8","2024","23","45","1","900"
"28534fd9dc56efdd419ba8ec5e57e4a0","7038","2024-07-08T23:45:00.000","ANDERSON LN / SHOAL CREEK BLVD","SOUTHBOUND","RIGHT TURN","true","1","10.0","0.0","0.0","0.0","7","8","2024","23","45","1","900"
"59800f531ba7be5b637b802722caccd9","7038","2024-07-08T23:45:00.000","ANDERSON LN / SHOAL CREEK BLVD","WESTBOUND","LEFT TURN","false","1","14.0","0.0","0.0","0.0","7","8","2024","23","45","1","900"
"0c17cd2fc154f1e880c55f6775b49dcf","7038","2024-07-08T23:45:00.000","ANDERSON LN / SHOAL CREEK BLVD","WESTBOUND","THRU","false","11","10.182","6.926","0.0","0.0","7","8","2024","23","45","1","900"
"0c004200050dd87000f1891463d3d59e","7038","2024-07-08T23:45:00.000","ANDERSON LN / SHOAL CREEK BLVD","WESTBOUND","THRU","true","2","13.5","9.192","0.0","0.0","7","8","2024","23","45","1","900"
"8de7599f35b6f503040d656a954e67b4","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","EASTBOUND","LEFT TURN","false","1","9.0","0.0","51.8","0.0","7","8","2024","23","45","1","900"
"4fa0d87c14e20e71a7f7101e558ddfb9","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","EASTBOUND","RIGHT TURN","false","1","4.0","0.0","14.1","0.0","7","8","2024","23","45","1","900"
"e79409c8c91c576e6af638677aeed310","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","EASTBOUND","RIGHT TURN","true","1","11.0","0.0","8.4","0.0","7","8","2024","23","45","1","900"
"17039e477d772142905ca2fe9f46eb3f","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","EASTBOUND","THRU","false","16","26.188","13.06","4.7","6.323","7","8","2024","23","45","1","900"
"6289875ae94119da7dedf443e5a62f6d","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","EASTBOUND","THRU","true","7","13.571","10.293","5.729","8.456","7","8","2024","23","45","1","900"
"66ab4f80021b3adc2491dd7c6e3ec4dd","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","NORTHBOUND","LEFT TURN","false","2","27.0","26.87","2.05","0.071","7","8","2024","23","45","1","900"
"f241064a69a1f3de17704d00d982b011","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","NORTHBOUND","LEFT TURN","true","5","20.0","9.274","35.26","37.711","7","8","2024","23","45","1","900"
"1703b59d7271e9be87150a74c79da242","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","NORTHBOUND","RIGHT TURN","true","4","0.0","0.0","1.3","1.503","7","8","2024","23","45","1","900"
"336508adccdf93b52568c0f853d286a6","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","NORTHBOUND","THRU","true","2","11.0","15.556","2.25","3.041","7","8","2024","23","45","1","900"
"c2c160d5695f25c7c9f45ba7b66632ba","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","SOUTHBOUND","LEFT TURN","false","1","13.0","0.0","0.2","0.0","7","8","2024","23","45","1","900"
"04c6e2fbc77881802109b7a9e54bb6e8","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","SOUTHBOUND","LEFT TURN","true","1","13.0","0.0","76.3","0.0","7","8","2024","23","45","1","900"
"59cb030dd682ee90c24bfdf7f9d6a67b","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","SOUTHBOUND","RIGHT TURN","false","3","10.333","0.577","16.833","22.748","7","8","2024","23","45","1","900"
"ca78cf9bc1d8ffbcb530ab5cd4e994a4","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","SOUTHBOUND","RIGHT TURN","true","5","6.6","3.715","10.92","13.224","7","8","2024","23","45","1","900"
"f6fbba8f30b25f285912fcc1fe70e5f2","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","SOUTHBOUND","THRU","true","1","13.0","0.0","0.1","0.0","7","8","2024","23","45","1","900"
"1231ee202b3a295f5089f82df6387c7b","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","WESTBOUND","LEFT TURN","false","3","14.667","2.082","2.5","2.117","7","8","2024","23","45","1","900"
"88c168bbd82faac864c2d14b92cecfeb","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","WESTBOUND","LEFT TURN","true","1","13.0","0.0","43.3","0.0","7","8","2024","23","45","1","900"
"e1eb774e03b6fb672348f0e6c683aff1","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","WESTBOUND","RIGHT TURN","false","5","0.8","1.789","4.06","1.193","7","8","2024","23","45","1","900"
"f84cccc4b5c857e57f61ae8e495f09c1","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","WESTBOUND","RIGHT TURN","true","3","0.0","0.0","4.3","2.506","7","8","2024","23","45","1","900"
"b5e226609273e3b280ea4c22d6effdc8","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","WESTBOUND","THRU","false","26","28.385","19.376","9.546","12.97","7","8","2024","23","45","1","900"
"ebebcacc1ec4a22404e96e88994ba94f","7343","2024-07-08T23:45:00.000","RIVERSIDE DR / BURTON DR","WESTBOUND","THRU","true","25","20.84","20.661","6.512","6.685","7","8","2024","23","45","1","900"
"68adae076c38c762cf950ab7d26b312c","6382","2024-07-08T23:45:00.000","FM 620 RD / DEERBROOK TRL","EASTBOUND","THRU","false","9","45.667","4.416","1.033","0.357","7","8","2024","23","45","1","900"
"c52d83a12000b6092ab98743c8e1ad52","6382","2024-07-08T23:45:00.000","FM 620 RD / DEERBROOK TRL","EASTBOUND","THRU","true","13","43.385","3.07","1.146","0.369","7","8","2024","23","45","1","900"
"6ac2638fec9ca1805b5377b4bfab7db2","6382","2024-07-08T23:45:00.000","FM 620 RD / DEERBROOK TRL","NORTHBOUND","LEFT TURN","false","1","10.0","0.0","0.1","0.0","7","8","2024","23","45","1","900"
"c0ad422bbb883df74e1b71463426ac2d","6382","2024-07-08T23:45:00.000","FM 620 RD / DEERBROOK TRL","WESTBOUND","LEFT TURN","false","1","0.0","0.0","5.1","0.0","7","8","2024","23","45","1","900"
"383bdad77a2a05ed29c9343b8b9317f6","6382","2024-07-08T23:45:00.000","FM 620 RD / DEERBROOK TRL","WESTBOUND","LEFT TURN","true","2","12.5","3.536","0.7","0.566","7","8","2024","23","45","1","900"
"a453a1e629cb44f810ebdbd324ab2ac8","6382","2024-07-08T23:45:00.000","FM 620 RD / DEERBROOK TRL","WESTBOUND","THRU","false","12","36.417","10.449","2.175","2.435","7","8","2024","23","45","1","900"
"88eb47e2b025a7eac1d96221d34b7f2e","6382","2024-07-08T23:45:00.000","FM 620 RD / DEERBROOK TRL","WESTBOUND","THRU","true","8","34.25","9.438","1.8","1.038","7","8","2024","23","45","1","900"
"c35d9c20ba1471eeb3f9d283647199ca","6881","2024-07-08T23:45:00.000","SLAUGHTER LN / LINDSHIRE LN","EASTBOUND","THRU","false","4","29.5","12.477","1.225","0.629","7","8","2024","23","45","1","900"
"cfda0d4ad1d7b18d26b9dac0de27e3b6","6881","2024-07-08T23:45:00.000","SLAUGHTER LN / LINDSHIRE LN","EASTBOUND","THRU","true","7","32.857","2.911","1.229","0.709","7","8","2024","23","45","1","900"
"541e0192436364ea7ffe269e551c0ca6","6881","2024-07-08T23:45:00.000","SLAUGHTER LN / LINDSHIRE LN","NORTHBOUND","LEFT TURN","true","1","5.0","0.0","30.1","0.0","7","8","2024","23","45","1","900"
"e490e316d426a8a16fef83722449a1a5","6881","2024-07-08T23:45:00.000","SLAUGHTER LN / LINDSHIRE LN","NORTHBOUND","RIGHT TURN","false","1","5.0","0.0","0.1","0.0","7","8","2024","23","45","1","900"
"d20012e4baa8bd3a8065bf270886a33d","6881","2024-07-08T23:45:00.000","SLAUGHTER LN / LINDSHIRE LN","WESTBOUND","LEFT TURN","true","3","11.333","3.215","3.267","1.32","7","8","2024","23","45","1","900"
"76376aa1951b9141a559e504c633a783","6881","2024-07-08T23:45:00.000","SLAUGHTER LN / LINDSHIRE LN","WESTBOUND","THRU","false","8","31.875","4.19","1.938","0.185","7","8","2024","23","45","1","900"
"5db19999c1ba2f9a72bf0790a4df6923","6881","2024-07-08T23:45:00.000","SLAUGHTER LN / LINDSHIRE LN","WESTBOUND","THRU","true","6","29.833","2.714","2.05","0.217","7","8","2024","23","45","1","900"
"e2611ee98eea84b414e960f7d36872ad","6808","2024-07-08T23:45:00.000","OLTORF ST / 4TH ST","EASTBOUND","THRU","false","10","8.4","4.575","13.38","22.472","7","8","2024","23","45","1","900"
"c2cf744318c7fdd1e70d23bbc213aa6e","6808","2024-07-08T23:45:00.000","OLTORF ST / 4TH ST","EASTBOUND","THRU","true","2","5.5","0.707","10.75","8.415","7","8","2024","23","45","1","900"
"c7f6bd90021a77fb92a5aa50f72e5487","6808","2024-07-08T23:45:00.000","OLTORF ST / 4TH ST","NORTHBOUND","LEFT TURN","false","2","6.5","0.707","6.35","8.839","7","8","2024","23","45","1","900"
"05162fb4d7b5d050da341efec4355d07","6808","2024-07-08T23:45:00.000","OLTORF ST / 4TH ST","NORTHBOUND","LEFT TURN","true","1","3.0","0.0","72.7","0.0","7","8","2024","23","45","1","900"
"ad102bb14c76f016d13c12a390b999fd","6808","2024-07-08T23:45:00.000","OLTORF ST / 4TH ST","NORTHBOUND","RIGHT TURN","false","2","3.0","2.828","10.25","7.425","7","8","2024","23","45","1","900"
"b6576dbfbe44c0a28a3644424118ba02","6808","2024-07-08T23:45:00.000","OLTORF ST / 4TH ST","NORTHBOUND","THRU","false","8","7.25","4.027","7.075","13.666","7","8","2024","23","45","1","900"
"7360402d90c9f97cabbce245decc7ff7","6808","2024-07-08T23:45:00.000","OLTORF ST / 4TH ST","NORTHBOUND","THRU","true","9","9.0","5.701","3.3","3.389","7","8","2024","23","45","1","900"
"2e3e4e334c4d8896450b90b26242607d","6808","2024-07-08T23:45:00.000","OLTORF ST / 4TH ST","SOUTHBOUND","LEFT TURN","false","2","6.5","0.707","22.5","30.264","7","8","2024","23","45","1","900"
"41d1eb02be60bab46bcf91202e5a555a","6808","2024-07-08T23:45:00.000","OLTORF ST / 4TH ST","SOUTHBOUND","THRU","false","4","6.5","1.291","14.075","22.292","7","8","2024","23","45","1","900"
"a33d220c7be5c7baf7244d1d3a01d4e9","6808","2024-07-08T23:45:00.000","OLTORF ST / 4TH ST","SOUTHBOUND","THRU","true","3","2.333","2.517","28.2","39.929","7","8","2024","23","45","1","900"
"34a883b322b297c253a8aace15aeee7a","6808","2024-07-08T23:45:00.000","OLTORF ST / 4TH ST","WESTBOUND","LEFT TURN","false","2","5.0","0.0","57.55","18.455","7","8","2024","23","45","1","900"
"89f80c12f4b6488aaae965429e695789","6808","2024-07-08T23:45:00.000","OLTORF ST / 4TH ST","WESTBOUND","LEFT TURN","true","2","1.5","2.121","1.5","1.98","7","8","2024","23","45","1","900"
"1f6ea6d52eb7468104c0ba7494679f8d","6808","2024-07-08T23:45:00.000","OLTORF ST / 4TH ST","WESTBOUND","THRU","false","4","6.5","0.577","32.3","19.118","7","8","2024","23","45","1","900"
"ad830bd39b1734b5f288a21f0b66acea","6808","2024-07-08T23:45:00.000","OLTORF ST / 4TH ST","WESTBOUND","THRU","true","5","5.4","3.912","3.46","0.219","7","8","2024","23","45","1","900"
"dab067dfde512e5bc0eb116dd5dadddf","6653","2024-07-08T23:30:00.000","38TH ST / MEDICAL PKWY","EASTBOUND","LEFT TURN","true","1","7.0","0.0","6.4","0.0","7","8","2024","23","30","1","900"
"eb077e42e18f67e26ef01fa51b262d93","6653","2024-07-08T23:30:00.000","38TH ST / MEDICAL PKWY","EASTBOUND","THRU","false","17","24.118","11.456","3.606","5.484","7","8","2024","23","30","1","900"
"0cd782a0ffcb530c434f4c695b18dcee","6653","2024-07-08T23:30:00.000","38TH ST / MEDICAL PKWY","EASTBOUND","THRU","true","4","17.0","13.367","14.05","14.864","7","8","2024","23","30","1","900"
"8b67ef9f01f8880bfddaa1e396271549","6653","2024-07-08T23:30:00.000","38TH ST / MEDICAL PKWY","NORTHBOUND","LEFT TURN","false","1","9.0","0.0","31.3","0.0","7","8","2024","23","30","1","900"
"f3f83f5fc52bd4fa9fa340da55f04edd","6653","2024-07-08T23:30:00.000","38TH ST / MEDICAL PKWY","NORTHBOUND","LEFT TURN","true","1","13.0","0.0","7.3","0.0","7","8","2024","23","30","1","900"
